codigo_postal,municipio_id,nombre_entidad_singular
00005,17079,GIRONA
00040,40223,"ANGELES VEGAS MATUTE"
00042,42173,SORIA
00043,43110,"POBLA DE MASSALUCA (LA)"
00045,45165,GAMONAL
00115,08113,"XUP (EL)"
00298,50209,PINSEQUE
00342,42162,"PIQUERA DE SAN ESTEBAN"
00548,05047,CANDELEDA
01001,01059,VITORIA-GASTEIZ
01002,01059,VITORIA-GASTEIZ
01003,01059,VITORIA-GASTEIZ
01004,01059,VITORIA-GASTEIZ
01005,01059,VITORIA-GASTEIZ
01006,01059,VITORIA-GASTEIZ
01007,01059,VITORIA-GASTEIZ
01008,01059,VITORIA-GASTEIZ
01009,01059,VITORIA-GASTEIZ
01010,01059,ASTEGUIETA
01012,01028,"SALINILLAS DE BURADON/GAT"
01012,01059,VITORIA-GASTEIZ
01013,01059,"GAMARRA MAYOR/GAMARRA NAG"
01015,01059,VITORIA-GASTEIZ
01110,01017,"SANTA CRUZ DE CAMPEZO/SAN"
01117,01017,OTEO
01117,01056,ULLIBARRI-ARANA/URIBARRI-
01118,01016,VILLAFRIA
01118,01030,VILLAVERDE
01118,09109,OBECURI
01120,01037,MAEZTU/MAESTU
01121,01014,BERANTEVILLA
01128,01016,"SAN ROMÁN DE CAMPEZO/DURR"
01128,01017,BUJANDA
01128,01037,AZAZETA
01129,01037,"VIRGALA MENOR"
01130,01063,MURGIA
01138,01018,"DISEMINADOS DE ZIGOITIA"
01139,01063,ZARATE
01160,01003,IBARRA
01165,01003,OLETA
01169,01003,URIBARRI
01170,01058,LEGUTIO
01171,01058,GOIAIN
01191,01059,ULLIBARRI-VIÑA/URIBARRI-D
01191,01901,TRESPUENTES
01192,01021,HIJONA/IXONA
01192,01059,OREITIA
01193,01001,EGILETA
01193,01021,HIJONA/IXONA
01193,01027,TROKONIZ
01193,01059,VILLAFRANCA
01194,01016,OKINA
01194,01059,MONASTERIOGUREN
01195,01059,KRISPIÑA/CRISPIJANA
01195,01901,VILLODAS/BILLODA
01196,01018,MENDAROZKETA
01196,01059,YURRE/IHURRE
01200,01051,AGURAIN/SALVATIERRA
01206,01013,BARRUNDIA
01206,01027,LANGARIKA
01207,01027,JAUREGI
01207,01051,OPAKUA
01207,01053,BIKUÑA/VICUÑA
01208,01009,GORDOA
01208,01013,LARREA
01208,01053,"ZUAZO DE SAN MILLAN/ZUHAT"
01208,01061,ZALDUONDO
01211,01006,LACORZANA
01211,01014,TOBERA
01211,01030,PIPAON
01211,01044,PAYUETA/PAGOETA
01211,09109,MORAZA
01212,01014,"SANTA CRUZ DEL FIERRO"
01212,01028,"SALINILLAS DE BURADON/GAT"
01212,01044,PEÑACERRADA-URIZAHARRA
01212,01062,ZAMBRANA
01213,01046,VILLABEZANA
01213,01047,RIBABELLOSA
01213,01902,ZUBILLAGA
01216,01016,URARTE
01216,01044,FAIDO/FAIDU
01220,01006,ESTAVILLO
01220,01014,LACERVILLA
01220,01046,"LECIÑANA DE LA OCA"
01220,01047,RIBAGUDA
01230,01901,"NANCLARES DE LA OCA/LANGR"
01240,01001,ALEGRIA-DULANTZI
01250,01009,ARRIOLA
01260,01009,URABAIN
01300,01031,LAGUARDIA
01306,01033,"LAPUEBLA DE LABARCA"
01307,01011,"BAÑOS DE EBRO/MAÑUETA"
01307,01052,SAMANIEGO
01307,01057,"VILLABUENA DE ALAVA/ESKUE"
01308,01019,KRIPAN
01308,01031,"CAMPILLAR (EL)"
01308,01032,VIÑASPRE/BINASPERI
01309,01023,ELVILLAR/BILAR
01309,01031,PAGANOS
01309,01034,LEZA
01309,01041,NAVARIDAS
01310,01022,ELCIEGO
01320,01043,OYON-OION
01321,01031,LASERNA
01322,01039,"MOREDA DE ÁLAVA/MOREDA AR"
01322,01043,LABRAZA
