codigo_postal,municipio_id,nombre_entidad_singular,year
00548,05047,CANDELEDA,2013
01001,01059,VITORIA-GASTEIZ,2013
01002,01059,VITORIA-GASTEIZ,2013
01003,01059,VITORIA-GASTEIZ,2013
01004,01059,VITORIA-GASTEIZ,2013
01005,01059,VITORIA-GASTEIZ,2013
01006,01059,VITORIA-GASTEIZ,2013
01007,01059,VITORIA-GASTEIZ,2013
01008,01059,VITORIA-GASTEIZ,2013
01009,01059,VITORIA-GASTEIZ,2013
01010,01059,ASTEGUIETA,2013
01012,01028,"SALINILLAS DE BURADON/GAT",2013
01012,01059,VITORIA-GASTEIZ,2013
01013,01059,"GAMARRA MAYOR",2013
01015,01059,VITORIA-GASTEIZ,2013
01110,01017,"SANTA CRUZ DE CAMPEZO",2013
01117,01017,OTEO,2013
01117,01056,ULLIBARRI-ARANA,2013
01118,01016,VILLAFRIA,2013
01118,01030,VILLAVERDE,2013
01118,09109,OBECURI,2013
01120,01037,MAEZTU/MAESTU,2013
01128,01016,"S. ROMÁN CAM/DURRUMA KA",2013
01128,01017,BUJANDA,2013
01128,01037,AZACETA,2013
01129,01037,"VIRGALA MENOR",2013
01130,01063,MURGIA,2013
01138,01018,"DISEMINADOS DE ZIGOITIA",2013
01139,01063,ZARATE,2013
01160,01003,IBARRA,2013
01165,01003,OLETA,2013
01169,01003,URIBARRI,2013
01170,01058,LEGUTIO,2013
01171,01058,GOIAIN,2013
01191,01059,ULLIBARRI-VIÑA,2013
01191,01901,TRESPUENTES,2013
01192,01021,HIJONA/IXONA,2013
01192,01059,OREITIA,2013
01193,01001,EGILETA,2013
01193,01021,HIJONA/IXONA,2013
01193,01027,TROKONIZ,2013
01193,01059,VILLAFRANCA,2013
01194,01016,OKINA,2013
01194,01059,MONASTERIOGUREN,2013
01195,01059,CRISPIJANA/KRISPIÑANA,2013
01195,01901,VILLODAS/BILLODA,2013
01196,01018,MENDAROZKETA,2013
01196,01059,YURRE/IHURRE,2013
01200,01051,AGURAIN/SALVATIERRA,2013
01206,01013,BARRUNDIA,2013
01206,01027,LANGARIKA,2013
01207,01027,JAUREGI,2013
01207,01051,OPAKUA,2013
01207,01053,BIKUÑA/VICUÑA,2013
01208,01009,GORDOA,2013
01208,01013,LARREA,2013
01208,01053,"ZUAZO DE SAN MILLAN/ZUHAT",2013
01208,01061,ZALDUONDO,2013
01211,01006,LACORZANA,2013
01211,01014,TOBERA,2013
01211,01030,PIPAON,2013
01211,01044,PAYUETA/PAGOETA,2013
01211,09109,MORAZA,2013
01212,01014,"SANTA CRUZ DEL FIERRO",2013
01212,01028,"SALINILLAS DE BURADON/GAT",2013
01212,01044,PEÑACERRADA/URIZAHARRA,2013
01212,01062,ZAMBRANA,2013
01213,01046,VILLABEZANA,2013
01213,01047,RIVABELLOSA,2013
01213,01902,ZUBILLAGA,2013
01216,01016,URARTE,2013
01216,01044,FAIDO/FAIDU,2013
01220,01006,ESTAVILLO,2013
01220,01014,LACERVILLA,2013
01220,01046,"LECIÑANA DE LA OCA",2013
01220,01047,RIVAGUDA,2013
01230,01901,"NANCLARES DE LA OCA",2013
01240,01001,ALEGRIA-DULANTZI,2013
01250,01009,ARRIOLA,2013
01260,01009,URABAIN,2013
01300,01031,LAGUARDIA,2013
01306,01033,"LAPUEBLA DE LABARCA",2013
01307,01011,"BAÑOS DE EBRO/MAÑUETA",2013
01307,01052,SAMANIEGO,2013
01307,01057,VILLABUENA/ESKUERNAGA,2013
01308,01019,KRIPAN,2013
01308,01031,"CAMPILLAR (EL)",2013
01308,01032,VIÑASPRE/BIASTERI,2013
01309,01023,ELVILLAR,2013
01309,01031,PAGANOS,2013
01309,01034,LEZA,2013
01309,01041,NAVARIDAS,2013
01320,01043,OYON-OION,2013
01321,01031,LASERNA,2013
01322,01039,"MOREDA DE ÁLAVA/MOREDA AR",2013
01322,01043,LABRAZA,2013
01322,01060,YECORA,2013
01330,01028,LABASTIDA,2013
01340,01022,ELCIEGO,2013
01400,01036,LAUDIO/LLODIO,2013
01408,01010,LUIAONDO,2013
01409,01042,ZUDIVIARTE,2013
01420,01046,POBES,2013
01423,01046,VILLAMBROSA,2013
01423,01049,ATIEGA/ATIAGA,2013
01423,01055,VILLAMADERNE,2013
01423,01902,SOBRON,2013
01426,01046,VILORIA,2013
01426,01049,"SALINAS DE AÑANA/GESALTZA",2013
01426,01055,"VILLANUEVA VALDEGOVIA(CAP",2013
01427,01055,VALLUERCA,2013
01427,09050,VALPUESTA,2013
01427,09192,"VILLAFRIA DE SAN ZADORNIL",2013
01428,01046,VILLALUENGA,2013
01428,01055,GUINEA,2013
01428,01901,OLLÁVARRE/OLABARRI,2013
01430,01020,ZUHATZU-KUARTANGO,2013
01439,01020,VILLAMANCA,2013
01440,01054,IZARRA,2013
01449,01054,UZKIANO,2013
01450,01002,LEZAMA,2013
01450,01054,INOSO,2013
01450,01063,ZIORRAGA,2013
01468,01002,LARRINBE,2013
01470,01002,AMURRIO,2013
01470,01010,ETXEGOIEN,2013
01474,01004,ARTZINIEGA,2013
01476,01010,ARESPALDITZA/RESPALDIZA,2013
01477,01010,ZUAZA/ZUHATZA,2013
01478,01004,SOJOGUTI/SOXOGUTI,2013
01478,01010,SOXO/SOJO,2013
01479,01010,SALMANTON,2013
01510,01008,LUKO,2013
01510,01058,URBINA,2013
01510,01059,RETANA,2013
01520,01008,ZURBANO/ZURBAO,2013
01520,01059,AMARITA,2013
02001,02003,ALBACETE,2013
02002,02003,ALBACETE,2013
02003,02003,ALBACETE,2013
02004,02003,ALBACETE,2013
02005,02003,ALBACETE,2013
02006,02003,"VILLAR DE POZO-RUBIO",2013
02008,02003,ALBACETE,2013
02049,02003,"AGUAS NUEVAS",2013
02071,02003,"LLANOS (LOS)",2013
02099,02003,BACARIZA,2013
02099,02901,"POZO CAÑADA",2013
02100,02073,"TARAZONA DE LA MANCHA",2013
02100,20053,LEZO,2013
02110,02035,"GINETA (LA)",2013
02110,02073,"TARAZONA DE LA MANCHA",2013
02120,02060,"PEÑAS DE SAN PEDRO",2013
02124,02006,"SANTA ANA",2013
02124,02011,"NOGUERA (LA)",2013
02124,02044,CASABLANCA,2013
02125,02011,ROYO-ODREA,2013
02126,02011,"VILLAREJO (EL)",2013
02127,02060,"SOLANA (LA)",2013
02128,02006,MOLINAR,2013
02128,02060,"PEÑAS DE SAN PEDRO",2013
02129,02063,POZOHONDO,2013
02130,02017,BOGARRA,2013
02136,02058,"RIO MADERA",2013
02137,02058,"RIO MADERA",2013
02138,02017,"MOHEDAS (LAS)",2013
02138,02058,"CATALMEREJOS (LOS)",2013
02138,02059,FUENLABRADA,2013
02139,02011,"GRIEGO (EL)",2013
02139,02017,POTICHE,2013
02140,02003,"SALOBRAL (EL)",2013
02141,02063,POZOHONDO,2013
02142,02044,MULLIDAR,2013
02142,02063,"NAVA DE ARRIBA",2013
02150,02075,VALDEGANGA,2013
02151,02021,"CASAS DE JUAN NUÑEZ",2013
02152,02002,ALATOZ,2013
02153,02020,"CASAS DE JUAN GIL",2013
02154,02064,POZO-LORENTE,2013
02154,02083,VILLAVALIENTE,2013
02155,02003,TINAJEROS,2013
02156,02029,"FELIPA (LA)",2013
02160,02043,LEZUZA,2013
02161,02043,"VANDELARAS DE ARRIBA",2013
02162,02038,ONCEBREROS,2013
02170,21013,"BOLLULLOS PAR DEL CONDADO",2013
02200,02024,CASAS-IBAÑEZ,2013
02210,02007,"ALCALA DEL JUCAR",2013
02211,02007,TOLOSA,2013
02212,02023,"CASAS DE VES",2013
02213,02013,"PARED (LA)",2013
02213,02077,"BARRIO DEL SANTUARIO",2013
02214,02007,ZULEMA,2013
02214,02013,"VISO (EL)",2013
02215,02005,ALBOREA,2013
02215,02082,VILLATOYA,2013
02220,02052,MOTILLEJA,2013
02230,02045,MADRIGUERAS,2013
02240,02046,MAHORA,2013
02246,02054,"NAVAS DE JORQUERA",2013
02247,02026,CENIZATE,2013
02248,02041,JORQUERA,2013
02249,02034,BORMATE,2013
02249,02041,MALDONADO,2013
02249,02066,"RECUEJA (LA)",2013
02250,02001,ABENGIBRE,2013
02251,02034,CAMPOALBILLO,2013
02252,02007,MARIMINGUEZ,2013
02253,02036,GOLOSALVO,2013
02260,02034,FUENTEALBILLA,2013
02270,02079,VILLAMALEA,2013
02300,02008,"HORCAJO (EL)",2013
02310,02085,VIVEROS,2013
02311,02062,POVEDILLA,2013
02312,02008,"MESTA (LA)",2013
02313,02059,ZORIO,2013
02314,02008,"HOZ (LA)",2013
02314,02047,PEÑARRUBIA,2013
02314,02059,PESEBRE,2013
02315,02076,VIANOS,2013
02316,02070,SALOBRE,2013
02320,02012,BALAZOTE,2013
02326,02071,"SAN PEDRO",2013
02327,02065,"MADROÑO (EL)",2013
02328,02003,"SANTA ANA",2013
02329,02022,"BATAN MAZOS",2013
02330,02008,"JARDIN (EL)",2013
02331,02068,"CHOSPES (LOS)",2013
02332,02068,"CUBILLO (EL)",2013
02340,02068,ROBLEDO,2013
02350,02080,VILLAPALACIOS,2013
02360,02016,BIENSERVIDA,2013
02400,02037,"RINCON DEL MORO",2013
02409,02037,MINGOGIL,2013
02410,02044,LIETOR,2013
02420,02037,ISSO,2013
02430,02030,"FUENTE DEL TAIF",2013
02434,02042,"SIERRA (LA)",2013
02435,02072,SOCOVOS,2013
02436,02031,FEREZ,2013
02437,02072,TAZONA,2013
02438,30028,"MURTAS (LAS)",2013
02439,02030,"LONGUERA (LA)",2013
02440,02049,MOLINICOS,2013
02448,02017,YEGUARIZAS,2013
02448,02049,VEGALLERA,2013
02449,02030,"PUERTO DEL PINO",2013
02449,02049,TORRE-PEDRO,2013
02450,02067,RIOPAR,2013
02459,02058,"CASA ROSA",2013
02459,02067,"VILLAR (EL)",2013
02460,02084,"VILLAVERDE DE GUADALIMAR",2013
02461,02028,"RIO DE COTILLAS O RESINER",2013
02462,02067,UMBRIA-ANGULO,2013
02462,02084,"VENTA DE MENDOZA",2013
02470,02030,PERALTA,2013
02480,02086,TINDAVAR,2013
02482,02086,GONTAR,2013
02484,02086,SEGE,2013
02485,02086,TUS,2013
02486,02086,RASPILLA,2013
02487,02086,JARTOS,2013
02488,02086,SEGE,2013
02489,02086,GRAYA,2013
02490,02037,AGRAMON,2013
02498,02037,"MINAS (LAS)",2013
02499,02037,CANCARIX,2013
02500,02074,TOBARRA,2013
02510,02029,"POZO BUENO",2013
02510,02901,"POZO CAÑADA",2013
02511,02003,"CERRO LOBO",2013
02512,02003,"CASA DE LAS MONJAS",2013
02513,02074,SIERRA,2013
02514,02074,"MARDOS (LOS)",2013
02520,02029,"FELIPA (LA)",2013
02529,02029,HORNA,2013
02530,02055,TURRILLA,2013
02534,02055,JUTIA,2013
02535,02055,YETAS,2013
02536,02055,VIZCABLE,2013
02537,02055,CAÑADAS,2013
02538,02055,HUEBRAS,2013
02539,02055,"PEDRO ANDRES",2013
02600,02081,VILLARROBLEDO,2013
02610,02019,"BONILLO (EL)",2013
02611,02057,"OSSA DE MONTIEL",2013
02612,02053,MUNERA,2013
02612,02081,"CASAS DE LA PEÑA",2013
02613,02019,SOTUELAMOS,2013
02614,02014,"BALLESTERO (EL)",2013
02620,02048,MINAYA,2013
02630,02069,"RODA (LA)",2013
02636,02078,"VILLALGORDO DEL JUCAR",2013
02636,16060,"CARMEN (EL)",2013
02637,02032,FUENSANTA,2013
02638,02050,MONTALVOS,2013
02639,02015,BARRAX,2013
02639,02069,"SANTA MARTA",2013
02640,02009,ALMANSA,2013
02650,02051,"MONTEALEGRE DEL CASTILLO",2013
02651,02033,FUENTE-ALAMO,2013
02652,02056,ONTUR,2013
02653,02004,ALBATANA,2013
02660,02025,CAUDETE,2013
02690,02010,ALPERA,2013
02690,02039,HIGUERUELA,2013
02691,02018,BONETE,2013
02692,02029,PINILLA,2013
02692,02061,PETROLA,2013
02693,02027,"HIGUERA (LA)",2013
02694,02039,ONCEBREROS,2013
02695,02029,"VILLAR DE CHINCHILLA",2013
02696,02040,HOYA-GONZALO,2013
02999,02011,"POZUELO (EL)",2013
03001,03014,ALICANTE/ALACANT,2013
03002,03014,ALICANTE/ALACANT,2013
03003,03014,ALICANTE/ALACANT,2013
03004,03014,ALICANTE/ALACANT,2013
03005,03014,ALICANTE/ALACANT,2013
03006,03014,"BACAROT (EL)",2013
03007,03014,ALICANTE/ALACANT,2013
03008,03014,ALICANTE/ALACANT,2013
03009,03014,ALICANTE/ALACANT,2013
03010,03014,ALICANTE/ALACANT,2013
03010,30030,MURCIA,2013
03011,03014,ALICANTE/ALACANT,2013
03012,03014,ALICANTE/ALACANT,2013
03013,03014,ALICANTE/ALACANT,2013
03014,03014,ALICANTE/ALACANT,2013
03015,03014,ALICANTE/ALACANT,2013
03016,03014,ALICANTE/ALACANT,2013
03100,03083,XIXONA,2013
03108,03132,"TORREMANZANAS/TORRE DE LE",2013
03109,03129,TIBI,2013
03110,03090,MUTXAMEL,2013
03111,03046,BUSOT,2013
03112,03014,ALICANTE/ALACANT,2013
03113,03014,"PARTIDA DE VALLONGA",2013
03114,03014,"BACAROT (EL)",2013
03115,03014,"MONNEGRE - CABEÇO D'OR",2013
03130,03121,"SANTA POLA",2013
03138,03014,"ISLA PLANA-NUEVA TABARCA",2013
03139,03065,"ALTET (EL)",2013
03140,03076,"GUARDAMAR DEL SEGURA",2013
03150,03064,DOLORES,2013
03158,03055,CATRAL,2013
03158,03059,"SAN FELIPE NERI",2013
03159,03061,"DAYA NUEVA",2013
03160,03015,ALMORADI,2013
