codigo_postal,nombre_entidad_singular,municipio_id,nombre
00005,GIRONA,17079,Girona
00040,ANGELES VEGAS MATUTE,40223,Vegas de Matute
00042,SORIA,42173,Soria
00043,POBLA DE MASSALUCA (LA),43110,"Pobla de Massaluca, La"
00045,GAMONAL,45165,Talavera de la Reina
00115,XUP (EL),08113,Manresa
00298,PINSEQUE,50209,Pinseque
00342,PIQUERA DE SAN ESTEBAN,42162,San Esteban de Gormaz
00548,CANDELEDA,05047,Candeleda
01001,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01002,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01003,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01004,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01005,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01006,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01007,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01008,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01009,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01010,ASTEGUIETA,01059,Vitoria-Gasteiz
01012,SALINILLAS DE BURADON/GAT,01028,Labastida/Bastida
01012,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01013,GAMARRA MAYOR/GAMARRA NAG,01059,Vitoria-Gasteiz
01015,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01110,SANTA CRUZ DE CAMPEZO/SAN,01017,Campezo/Kanpezu
01117,OTEO,01017,Campezo/Kanpezu
01117,ULLIBARRI-ARANA/URIBARRI-,01056,Harana/Valle de Arana
01118,VILLAFRIA,01016,Bernedo
01118,VILLAVERDE,01030,Lagrán
01118,OBECURI,09109,Condado de Treviño
01120,MAEZTU/MAESTU,01037,Arraia-Maeztu
01121,BERANTEVILLA,01014,Berantevilla
01128,SAN ROMÁN DE CAMPEZO/DURR,01016,Bernedo
01128,BUJANDA,01017,Campezo/Kanpezu
01128,AZAZETA,01037,Arraia-Maeztu
01129,VIRGALA MENOR,01037,Arraia-Maeztu
