codigo_postal,municipio_id,codigo_unidad_poblacional,entidad_singular_nombre,nucleo_nombre
00043,43110,0001799,"Pobla de Massaluca (La)",*Diseminado*
00085,49064,0005699,"Palazuelo de Sayago",*Diseminado*
00633,26005,0001799,"Albelda de Iregua",*Diseminado*
01001,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01002,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01003,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01004,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01005,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01006,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01007,01059,0013601,Armentia,Armentia
01007,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01008,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01009,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01010,01059,0003801,Ehari/Ali,Ehari/Ali
01010,01059,0017301,Asteguieta,Asteguieta
01010,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01012,01028,0002201,"Salinillas de Buradon/Gat","Salinillas de Buradon/Gat"
01012,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01013,01059,0001701,Abetxuko,Abetxuko
01013,01059,0019201,Betoño,Betoño
01013,01059,0029001,"Gamarra Mayor/Gamarra Nag","Gamarra Mayor/Gamarra Nag"
01013,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01015,01059,0063501,Vitoria-Gasteiz,Vitoria-Gasteiz
01110,01017,0005601,"Santa Cruz de Campezo/San","Santa Cruz de Campezo/San"
01110,01017,0005699,"Santa Cruz de Campezo/San",*Diseminado*
01117,01017,0003801,Orbiso,Orbiso
01117,01017,0004301,Oteo,Oteo
01117,01056,0001701,Alda,Alda
01117,01056,0002201,Kontrasta,Kontrasta
01117,01056,0003801,"San Vicente de Arana/Done","San Vicente de Arana/Done"
01117,01056,0004301,Ullibarri-Arana/Uribarri-,Ullibarri-Arana/Uribarri-
01118,01016,0001701,Angostina,Angostina
01118,01016,0003801,Bernedo,Bernedo
01118,01016,0007501,Navarrete,Navarrete
01118,01016,0012001,Urturi,Urturi
01118,01016,0013601,Villafria,Villafria
01118,01030,0001701,Lagran,Lagran
01118,01030,0003801,Villaverde,Villaverde
01118,09109,0011501,Bajauri,Bajauri
01118,09109,0029001,Obecuri,Obecuri
01120,01037,0010801,Maeztu/Maestu,Maeztu/Maestu
01120,01037,0010899,Maeztu/Maestu,*Diseminado*
01121,01014,0001701,Berantevilla,Berantevilla
01128,01016,0009401,Quintana,Quintana
01128,01016,0010801,"San Román de Campezo/Durr","San Román de Campezo/Durr"
01128,01017,0001701,Antoñana,Antoñana
01128,01017,0001799,Antoñana,*Diseminado*
01128,01017,0002201,Bujanda,Bujanda
01128,01017,0002299,Bujanda,*Diseminado*
01128,01037,0004301,Atauri,Atauri
01128,01037,0004399,Atauri,*Diseminado*
01128,01037,0005601,Azazeta,Azazeta
01129,01037,0002201,Apellániz/Apilaiz,Apellániz/Apilaiz
